ID,Produto,Categoria,Preço,Quantidade,Data_Venda,Vendedor
61,Produto B,Categoria 1,54.84,4,2023-03-02,Vendedor 1
62,Produto A,Categoria 2,49.48,18,2023-03-03,Vendedor 2
63,Produto B,Categoria 2,29.64,1,2023-03-04,Vendedor 1
64,Produto B,Categoria 1,21.74,2,2023-03-05,Vendedor 1
65,Produto B,Categoria 3,11.13,2,2023-03-06,Vendedor 3
66,Produto B,Categoria 3,23.86,4,2023-03-07,Vendedor 1
67,Produto B,Categoria 2,73.48,3,2023-03-08,Vendedor 3
68,Produto B,Categoria 2,31.93,17,2023-03-09,Vendedor 3
69,Produto B,Categoria 3,52.17,14,2023-03-10,Vendedor 3
70,Produto A,Categoria 1,63.22,2,2023-03-11,
71,Produto C,Categoria 3,89.82,16,2023-03-12,Vendedor 1
72,Produto B,Categoria 3,90.0,11,2023-03-13,Vendedor 1
73,Produto B,Categoria 3,77.12,13,2023-03-14,Vendedor 3
74,Produto B,Categoria 3,13.16,1,2023-03-15,Vendedor 1
75,Produto B,Categoria 2,61.76,2,2023-03-16,Vendedor 3
76,Produto B,Categoria 2,80.79,2,2023-03-17,Vendedor 3
77,Produto B,Categoria 1,11.56,5,2023-03-18,Vendedor 3
78,Produto C,Categoria 1,59.47,4,2023-03-19,Vendedor 2
79,Produto C,Categoria 1,87.2,12,2023-03-20,Vendedor 1
80,Produto B,Categoria 1,52.67,3,2023-03-21,Vendedor 1
81,Produto C,Categoria 3,10.37,10,2023-03-22,Vendedor 3
82,Produto A,Categoria 2,10.99,18,2023-03-23,Vendedor 1
83,Produto B,Categoria 2,47.5,10,2023-03-24,Vendedor 3
84,Produto A,Categoria 1,23.95,1,2023-03-25,Vendedor 1
85,Produto A,Categoria 1,69.8,6,2023-03-26,Vendedor 3
86,Produto B,Categoria 3,73.79,11,2023-03-27,Vendedor 3
87,Produto C,Categoria 3,26.01,2,2023-03-28,Vendedor 2
88,Produto A,Categoria 1,89.97,7,2023-03-29,Vendedor 3
89,Produto B,Categoria 2,49.77,18,2023-03-30,Vendedor 2
90,Produto A,Categoria 2,22.86,19,2023-03-31,Vendedor 1
91,Produto A,Categoria 2,78.78,4,2023-04-01,Vendedor 1
92,Produto A,Categoria 1,81.1,13,2023-04-02,Vendedor 2
93,Produto A,Categoria 2,67.54,18,2023-04-03,Vendedor 1
94,Produto C,Categoria 3,86.81,13,2023-04-04,Vendedor 2
95,Produto A,Categoria 3,76.36,19,2023-04-05,Vendedor 1
96,Produto A,Categoria 1,89.4,17,2023-04-06,Vendedor 2
97,Produto A,Categoria 3,49.05,1,2023-04-07,Vendedor 2
98,Produto C,Categoria 1,77.28,6,2023-04-08,Vendedor 3
99,Produto A,Categoria 2,99.98,19,2023-04-09,Vendedor 1
100,Produto A,Categoria 2,75.24,1,2023-04-10,Vendedor 3
101,Produto C,Categoria 2,20.28,8,2023-04-11,Vendedor 2
102,Produto C,Categoria 3,56.65,17,2023-04-12,Vendedor 3
103,Produto C,Categoria 1,62.86,15,2023-04-13,Vendedor 2
104,Produto A,Categoria 2,25.68,18,2023-04-14,Vendedor 1
105,Produto C,Categoria 1,96.66,7,2023-04-15,Vendedor 1
106,Produto C,Categoria 2,25.8,16,2023-04-16,
107,Produto A,Categoria 3,25.98,7,2023-04-17,Vendedor 2
108,Produto C,Categoria 3,92.37,17,2023-04-18,Vendedor 3
109,Produto A,Categoria 1,51.87,4,2023-04-19,Vendedor 1
110,Produto B,Categoria 3,15.69,12,2023-04-20,Vendedor 2
111,Produto C,Categoria 3,63.84,13,2023-04-21,Vendedor 3
112,Produto B,Categoria 1,64.16,4,2023-04-22,Vendedor 2
113,Produto A,Categoria 2,15.81,1,2023-04-23,Vendedor 2
114,Produto C,Categoria 3,97.53,1,2023-04-24,Vendedor 1
115,Produto A,Categoria 1,58.96,7,2023-04-25,Vendedor 2
116,Produto B,Categoria 3,60.38,9,2023-04-26,Vendedor 2
117,Produto A,Categoria 3,56.81,1,2023-04-27,Vendedor 3
118,Produto C,Categoria 3,64.97,16,2023-04-28,Vendedor 1
119,Produto C,Categoria 3,33.79,18,2023-04-29,Vendedor 2
120,Produto B,Categoria 1,35.85,15,2023-04-30,Vendedor 2
121,Produto A,Categoria 1,56.02,6,2023-05-01,
122,Produto C,Categoria 1,82.6,2,2023-05-02,Vendedor 2
123,Produto B,Categoria 3,14.49,9,2023-05-03,Vendedor 2
124,Produto C,Categoria 3,64.31,4,2023-05-04,Vendedor 2
125,Produto C,Categoria 3,82.61,13,2023-05-05,Vendedor 2
126,Produto A,Categoria 1,24.12,11,2023-05-06,Vendedor 2
127,Produto C,Categoria 3,11.35,13,2023-05-07,Vendedor 3
128,Produto A,Categoria 2,38.14,11,2023-05-08,Vendedor 2
129,Produto C,Categoria 3,62.93,19,2023-05-09,Vendedor 2
130,Produto B,Categoria 2,22.45,8,2023-05-10,Vendedor 2
131,Produto C,Categoria 3,48.35,7,2023-05-11,Vendedor 2
132,Produto A,Categoria 1,59.71,16,2023-05-12,Vendedor 1
133,Produto A,Categoria 3,63.9,3,2023-05-13,Vendedor 1
134,Produto B,Categoria 2,34.7,17,2023-05-14,Vendedor 1
135,Produto C,Categoria 2,46.0,18,2023-05-15,Vendedor 1
136,Produto C,Categoria 3,80.05,15,2023-05-16,Vendedor 3
137,Produto B,Categoria 2,94.71,17,2023-05-17,Vendedor 1
138,Produto C,Categoria 2,87.57,11,2023-05-18,Vendedor 3
139,Produto C,Categoria 1,60.79,5,2023-05-19,Vendedor 1
140,Produto A,Categoria 3,46.93,16,2023-05-20,Vendedor 3
141,Produto C,Categoria 3,39.97,15,2023-05-21,Vendedor 1
142,Produto C,Categoria 3,21.25,10,2023-05-22,Vendedor 2
143,Produto B,Categoria 2,19.59,14,2023-05-23,Vendedor 1
144,Produto B,Categoria 3,71.95,2,2023-05-24,Vendedor 1
145,Produto A,Categoria 3,33.38,16,2023-05-25,Vendedor 1
146,Produto C,Categoria 1,32.92,19,2023-05-26,Vendedor 2
147,Produto C,Categoria 1,99.84,8,2023-05-27,Vendedor 3
148,Produto C,Categoria 1,26.91,15,2023-05-28,Vendedor 3
149,Produto A,Categoria 2,23.33,10,2023-05-29,Vendedor 2
150,Produto A,Categoria 3,18.88,5,2023-05-30,Vendedor 1
151,Produto B,Categoria 1,62.18,16,2023-05-31,Vendedor 1
152,Produto A,Categoria 1,66.51,12,2023-06-01,Vendedor 1
153,Produto C,Categoria 1,42.87,13,2023-06-02,Vendedor 3
154,Produto C,Categoria 3,58.19,9,2023-06-03,
155,Produto A,Categoria 3,80.96,17,2023-06-04,Vendedor 2
156,Produto C,Categoria 3,83.63,12,2023-06-05,Vendedor 2
157,Produto C,Categoria 2,96.21,5,2023-06-06,Vendedor 3
158,Produto A,Categoria 2,84.18,12,2023-06-07,Vendedor 1
159,Produto A,Categoria 1,60.84,1,2023-06-08,Vendedor 1
160,Produto C,Categoria 3,26.17,16,2023-06-09,Vendedor 1
161,Produto C,Categoria 1,18.98,12,2023-06-10,Vendedor 1
162,Produto C,Categoria 3,14.91,9,2023-06-11,Vendedor 2
163,Produto B,Categoria 3,69.99,13,2023-06-12,Vendedor 2
164,Produto B,Categoria 3,82.68,17,2023-06-13,Vendedor 3
165,Produto B,Categoria 2,55.78,17,2023-06-14,Vendedor 2
166,Produto A,Categoria 2,14.92,4,2023-06-15,Vendedor 1
167,Produto B,Categoria 3,58.19,14,2023-06-16,Vendedor 3
168,Produto A,Categoria 1,94.22,19,2023-06-17,Vendedor 2
169,Produto A,Categoria 3,63.79,7,2023-06-18,Vendedor 2
170,Produto B,Categoria 3,82.85,3,2023-06-19,Vendedor 2
171,Produto B,Categoria 1,82.01,1,2023-06-20,Vendedor 2
172,Produto B,Categoria 3,93.89,12,2023-06-21,Vendedor 2
173,Produto C,Categoria 1,79.32,15,2023-06-22,Vendedor 1
174,Produto B,Categoria 2,77.29,11,2023-06-23,Vendedor 1
175,Produto C,Categoria 2,31.07,10,2023-06-24,Vendedor 1
176,Produto A,Categoria 1,15.39,2,2023-06-25,Vendedor 2
177,Produto C,Categoria 2,56.58,4,2023-06-26,Vendedor 3
178,Produto B,Categoria 2,21.2,17,2023-06-27,Vendedor 1
179,Produto A,Categoria 1,96.6,17,2023-06-28,Vendedor 1
180,Produto A,Categoria 2,36.09,8,2023-06-29,Vendedor 2
181,Produto A,Categoria 3,86.76,14,2023-06-30,Vendedor 3
182,Produto C,Categoria 3,44.89,4,2023-07-01,Vendedor 1
183,Produto B,Categoria 1,39.09,6,2023-07-02,Vendedor 1
184,Produto A,Categoria 2,94.16,19,2023-07-03,Vendedor 3
185,Produto A,Categoria 3,42.7,4,2023-07-04,Vendedor 2
186,Produto A,Categoria 3,45.13,3,2023-07-05,Vendedor 3
187,Produto C,Categoria 2,19.55,6,2023-07-06,Vendedor 2
188,Produto C,Categoria 2,70.34,7,2023-07-07,Vendedor 1
189,Produto B,Categoria 3,36.0,14,2023-07-08,Vendedor 3
190,Produto C,Categoria 3,62.7,12,2023-07-09,Vendedor 3
191,Produto A,Categoria 1,63.22,16,2023-07-10,Vendedor 1
192,Produto B,Categoria 1,74.73,8,2023-07-11,Vendedor 1
193,Produto A,Categoria 3,77.07,2,2023-07-12,Vendedor 2
194,Produto A,Categoria 1,56.3,13,2023-07-13,Vendedor 1
195,Produto C,Categoria 3,39.79,8,2023-07-14,Vendedor 1
196,Produto B,Categoria 3,85.37,16,2023-07-15,Vendedor 3
197,Produto C,Categoria 1,37.89,4,2023-07-16,Vendedor 2
198,Produto C,Categoria 1,55.68,16,2023-07-17,Vendedor 1
199,Produto B,Categoria 2,46.11,6,2023-07-18,Vendedor 3
200,Produto A,Categoria 2,86.96,4,2023-07-19,Vendedor 1
201,Produto A,Categoria 2,48.87,16,2023-07-20,Vendedor 1
202,Produto B,Categoria 3,44.75,13,2023-07-21,Vendedor 1
203,Produto A,Categoria 1,72.08,5,2023-07-22,Vendedor 1
204,Produto B,Categoria 3,64.22,15,2023-07-23,Vendedor 2
205,Produto B,Categoria 1,19.65,8,2023-07-24,
206,Produto C,Categoria 3,55.74,7,2023-07-25,Vendedor 3
207,Produto B,Categoria 2,76.19,14,2023-07-26,Vendedor 1
208,Produto C,Categoria 2,99.29,7,2023-07-27,Vendedor 3
209,Produto A,Categoria 2,66.62,7,2023-07-28,Vendedor 1
210,Produto A,Categoria 3,43.33,18,2023-07-29,Vendedor 3
211,Produto A,Categoria 1,30.35,10,2023-07-30,Vendedor 2
212,Produto A,Categoria 1,88.55,18,2023-07-31,Vendedor 2
213,Produto C,Categoria 2,83.31,14,2023-08-01,Vendedor 3
214,Produto A,Categoria 2,31.05,10,2023-08-02,Vendedor 1
215,Produto B,Categoria 2,28.06,7,2023-08-03,Vendedor 1
216,Produto B,Categoria 2,74.36,7,2023-08-04,Vendedor 1
217,Produto B,Categoria 1,38.35,7,2023-08-05,Vendedor 1
218,Produto C,Categoria 3,37.58,5,2023-08-06,Vendedor 2
219,Produto A,Categoria 3,23.71,1,2023-08-07,Vendedor 1
220,Produto A,Categoria 3,33.76,14,2023-08-08,Vendedor 1
221,Produto A,Categoria 3,48.48,18,2023-08-09,Vendedor 1
222,Produto C,Categoria 2,75.96,13,2023-08-10,Vendedor 1
223,Produto B,Categoria 2,40.27,8,2023-08-11,Vendedor 2
224,Produto B,Categoria 2,39.57,8,2023-08-12,Vendedor 3
225,Produto A,Categoria 3,35.64,10,2023-08-13,Vendedor 3
226,Produto B,Categoria 2,53.05,17,2023-08-14,Vendedor 1
227,Produto B,Categoria 2,26.26,6,2023-08-15,Vendedor 1
228,Produto C,Categoria 1,53.71,15,2023-08-16,Vendedor 3
229,Produto C,Categoria 1,73.38,15,2023-08-17,Vendedor 2
230,Produto C,Categoria 2,12.68,16,2023-08-18,Vendedor 2
231,Produto C,Categoria 1,10.88,8,2023-08-19,Vendedor 2
232,Produto A,Categoria 1,16.76,19,2023-08-20,Vendedor 2
233,Produto C,Categoria 2,58.21,15,2023-08-21,Vendedor 2
234,Produto B,Categoria 2,86.9,3,2023-08-22,Vendedor 2
235,Produto A,Categoria 2,10.44,6,2023-08-23,
236,Produto B,Categoria 2,94.3,8,2023-08-24,Vendedor 2
237,Produto B,Categoria 3,19.57,16,2023-08-25,Vendedor 2
238,Produto B,Categoria 3,85.78,15,2023-08-26,Vendedor 1
239,Produto C,Categoria 2,53.46,13,2023-08-27,Vendedor 2
240,Produto C,Categoria 1,69.34,15,2023-08-28,Vendedor 1
241,Produto A,Categoria 2,55.96,18,2023-08-29,Vendedor 3
242,Produto A,Categoria 2,52.93,13,2023-08-30,Vendedor 1
243,Produto C,Categoria 1,85.14,8,2023-08-31,Vendedor 3
244,Produto B,Categoria 3,78.03,14,2023-09-01,Vendedor 1
245,Produto A,Categoria 2,53.51,11,2023-09-02,Vendedor 3
246,Produto C,Categoria 2,20.05,6,2023-09-03,Vendedor 1
247,Produto C,Categoria 3,20.39,1,2023-09-04,Vendedor 1
248,Produto C,Categoria 3,82.14,2,2023-09-05,Vendedor 3
249,Produto B,Categoria 1,57.65,13,2023-09-06,Vendedor 2
250,Produto C,Categoria 3,53.34,1,2023-09-07,Vendedor 2
251,Produto C,Categoria 3,71.25,4,2023-09-08,Vendedor 2
252,Produto C,Categoria 3,87.3,2,2023-09-09,Vendedor 2
253,Produto C,Categoria 1,66.6,16,2023-09-10,Vendedor 2
254,Produto A,Categoria 3,78.66,3,2023-09-11,Vendedor 1
255,Produto A,Categoria 3,78.87,17,2023-09-12,Vendedor 2
256,Produto C,Categoria 1,42.06,5,2023-09-13,Vendedor 1
257,Produto B,Categoria 3,34.67,8,2023-09-14,Vendedor 3
258,Produto A,Categoria 3,82.1,12,2023-09-15,Vendedor 2
259,Produto C,Categoria 1,43.95,12,2023-09-16,Vendedor 2
260,Produto A,Categoria 2,91.3,1,2023-09-17,Vendedor 2
261,Produto A,Categoria 1,16.27,1,2023-09-18,Vendedor 2
262,Produto B,Categoria 3,15.24,15,2023-09-19,Vendedor 1
263,Produto C,Categoria 3,93.43,17,2023-09-20,Vendedor 1
264,Produto C,Categoria 3,68.36,2,2023-09-21,Vendedor 1
265,Produto B,,44.16,17,,Vendedor 3
266,Produto B,Categoria 3,77.96,9,2023-09-23,Vendedor 1
267,Produto C,Categoria 3,70.51,12,2023-09-24,Vendedor 2
268,Produto C,Categoria 1,57.81,4,2023-09-25,Vendedor 3
269,Produto B,Categoria 2,18.9,13,2023-09-26,Vendedor 3
270,Produto A,Categoria 2,83.1,4,2023-09-27,Vendedor 2
271,,Categoria 3,87.94,7,2023-09-28,Vendedor 2
272,Produto B,Categoria 1,25.5,14,2023-09-29,Vendedor 2
273,Produto A,Categoria 3,86.55,9,2023-09-30,Vendedor 2
274,Produto B,Categoria 1,89.01,1,2023-10-01,Vendedor 1
275,Produto A,Categoria 1,59.45,1,2023-10-02,Vendedor 3
276,Produto A,Categoria 2,69.06,4,2023-10-03,Vendedor 2
277,Produto C,Categoria 2,44.4,1,2023-10-04,Vendedor 1
278,Produto C,Categoria 1,35.36,10,2023-10-05,Vendedor 2
279,Produto A,Categoria 3,74.98,2,2023-10-06,Vendedor 1
280,Produto A,Categoria 2,87.57,15,2023-10-07,Vendedor 2
281,Produto C,Categoria 3,68.87,3,2023-10-08,Vendedor 2
282,Produto C,Categoria 2,56.04,9,2023-10-09,Vendedor 2
283,Produto C,Categoria 2,24.3,17,2023-10-10,Vendedor 1
284,Produto B,Categoria 3,14.81,13,2023-10-11,Vendedor 2
285,Produto A,Categoria 2,50.11,3,2023-10-12,Vendedor 1
286,Produto C,Categoria 2,14.44,4,2023-10-13,Vendedor 1
287,Produto A,Categoria 3,61.24,4,2023-10-14,Vendedor 3
288,,Categoria 2,44.45,11,2023-10-15,Vendedor 1
289,Produto B,Categoria 2,78.15,7,2023-10-16,Vendedor 1
290,Produto C,Categoria 2,37.51,11,2023-10-17,Vendedor 1
291,Produto B,Categoria 3,63.37,11,2023-10-18,Vendedor 1
292,Produto A,Categoria 1,58.39,10,2023-10-19,Vendedor 1
293,Produto C,Categoria 3,10.42,5,2023-10-20,Vendedor 3
294,Produto A,Categoria 1,16.52,13,2023-10-21,Vendedor 2
295,Produto A,Categoria 2,36.13,12,2023-10-22,Vendedor 3
296,Produto B,Categoria 1,89.4,10,2023-10-23,Vendedor 3
297,Produto B,Categoria 3,23.23,7,2023-10-24,Vendedor 2
298,Produto B,Categoria 3,73.98,19,2023-10-25,Vendedor 1
299,Produto B,Categoria 2,97.6,19,2023-10-26,Vendedor 2
300,Produto B,Categoria 1,81.15,19,2023-10-27,Vendedor 1
301,Produto C,Categoria 2,31.87,12,2023-10-28,Vendedor 2
302,Produto A,Categoria 2,91.75,15,2023-10-29,Vendedor 3
303,Produto A,Categoria 3,18.38,5,2023-10-30,Vendedor 1
304,Produto A,Categoria 1,52.13,14,2023-10-31,Vendedor 3
305,Produto A,Categoria 1,89.88,12,2023-11-01,Vendedor 1
306,Produto B,Categoria 1,67.71,11,2023-11-02,Vendedor 2
307,Produto A,Categoria 1,47.23,5,2023-11-03,Vendedor 2
308,Produto C,Categoria 2,36.35,16,2023-11-04,Vendedor 2
309,Produto C,Categoria 2,43.76,18,2023-11-05,Vendedor 2
310,Produto A,Categoria 3,55.8,12,2023-11-06,Vendedor 2
311,Produto A,Categoria 2,38.71,5,2023-11-07,Vendedor 3
312,Produto C,Categoria 2,97.21,16,2023-11-08,Vendedor 3
313,Produto C,Categoria 3,93.98,12,2023-11-09,Vendedor 1
314,Produto B,Categoria 3,88.36,2,2023-11-10,Vendedor 3
315,Produto C,Categoria 3,47.96,6,2023-11-11,Vendedor 1
316,Produto B,Categoria 2,72.22,4,2023-11-12,Vendedor 1
317,Produto B,Categoria 2,91.25,13,2023-11-13,Vendedor 3
318,,Categoria 3,86.54,10,2023-11-14,Vendedor 3
319,Produto B,Categoria 3,47.29,17,2023-11-15,Vendedor 1
320,Produto B,Categoria 3,20.11,14,2023-11-16,Vendedor 3
321,Produto A,Categoria 2,16.81,15,2023-11-17,Vendedor 3
322,Produto C,Categoria 2,61.94,8,2023-11-18,Vendedor 3
323,Produto B,Categoria 1,67.84,18,2023-11-19,Vendedor 2
324,Produto C,Categoria 2,86.49,3,2023-11-20,Vendedor 2
325,Produto C,Categoria 2,36.33,17,2023-11-21,Vendedor 1
326,Produto B,Categoria 2,25.07,7,2023-11-22,Vendedor 3
327,Produto A,Categoria 3,44.11,13,2023-11-23,Vendedor 1
328,Produto B,Categoria 2,41.82,16,2023-11-24,Vendedor 3
329,Produto A,Categoria 3,21.92,5,2023-11-25,Vendedor 2
330,Produto C,Categoria 1,70.51,4,2023-11-26,Vendedor 3
331,Produto A,Categoria 1,55.78,10,2023-11-27,Vendedor 3
332,Produto A,Categoria 3,74.9,13,2023-11-28,Vendedor 3
333,Produto A,Categoria 3,41.74,10,2023-11-29,Vendedor 2
334,Produto C,Categoria 3,39.31,14,2023-11-30,Vendedor 2
335,Produto C,Categoria 2,52.53,12,2023-12-01,Vendedor 2
336,Produto A,Categoria 1,88.97,1,2023-12-02,Vendedor 1
337,Produto A,Categoria 3,13.63,7,2023-12-03,Vendedor 3
338,Produto B,Categoria 2,82.43,9,2023-12-04,Vendedor 2
339,Produto A,Categoria 1,43.21,8,2023-12-05,Vendedor 1
340,Produto B,Categoria 2,86.92,13,2023-12-06,Vendedor 2
341,Produto A,Categoria 1,82.2,14,2023-12-07,Vendedor 3
342,Produto B,Categoria 2,41.39,12,2023-12-08,Vendedor 1
343,Produto C,Categoria 1,72.45,8,2023-12-09,Vendedor 2
344,Produto A,Categoria 1,24.37,18,2023-12-10,Vendedor 2
345,Produto A,Categoria 2,90.67,16,2023-12-11,Vendedor 1
346,Produto A,Categoria 3,46.4,11,2023-12-12,Vendedor 1
347,Produto A,Categoria 1,51.01,16,2023-12-13,Vendedor 1
348,Produto B,Categoria 3,73.52,14,2023-12-14,Vendedor 1
349,Produto A,Categoria 2,83.88,3,2023-12-15,Vendedor 1
350,Produto C,Categoria 3,31.27,2,2023-12-16,Vendedor 2
351,Produto C,Categoria 3,69.52,3,2023-12-17,Vendedor 1
352,Produto A,Categoria 3,45.28,4,2023-12-18,Vendedor 1
353,Produto C,Categoria 3,43.18,5,2023-12-19,Vendedor 3
354,Produto A,Categoria 3,72.1,10,2023-12-20,Vendedor 2
355,Produto A,Categoria 1,44.85,2,2023-12-21,Vendedor 3
356,Produto C,Categoria 1,41.15,12,2023-12-22,Vendedor 2
357,Produto A,Categoria 1,85.23,5,2023-12-23,Vendedor 2
358,Produto C,Categoria 2,19.11,5,2023-12-24,Vendedor 2
359,Produto B,Categoria 3,70.83,1,2023-12-25,Vendedor 1
360,Produto A,Categoria 1,32.39,4,2023-12-26,Vendedor 3
361,Produto B,Categoria 2,11.39,12,2023-12-27,Vendedor 2
362,Produto C,Categoria 1,25.01,12,2023-12-28,Vendedor 2
363,Produto B,Categoria 1,64.6,16,2023-12-29,Vendedor 2
364,Produto B,Categoria 3,73.82,17,2023-12-30,Vendedor 3
365,Produto C,Categoria 2,11.9,10,2023-12-31,Vendedor 2
366,Produto B,Categoria 3,13.28,17,2024-01-01,Vendedor 3
367,Produto B,Categoria 3,91.23,17,2024-01-02,Vendedor 3
368,Produto C,Categoria 1,16.6,18,2024-01-03,Vendedor 1
369,Produto B,Categoria 3,90.48,2,2024-01-04,Vendedor 2
370,Produto C,Categoria 2,30.53,4,2024-01-05,Vendedor 2
371,Produto B,Categoria 3,76.6,19,2024-01-06,Vendedor 3
372,Produto C,Categoria 3,37.88,11,2024-01-07,Vendedor 3
373,Produto C,Categoria 3,87.29,17,2024-01-08,Vendedor 1
374,Produto B,Categoria 1,73.04,12,2024-01-09,Vendedor 2
375,Produto B,Categoria 2,46.16,2,2024-01-10,Vendedor 3
376,Produto B,Categoria 1,16.87,6,2024-01-11,Vendedor 2
377,Produto A,Categoria 1,75.94,9,2024-01-12,Vendedor 2
378,Produto A,Categoria 1,65.52,5,2024-01-13,Vendedor 2
379,Produto A,Categoria 1,10.26,9,2024-01-14,Vendedor 3
380,Produto C,Categoria 1,10.85,8,2024-01-15,Vendedor 2
381,Produto B,Categoria 2,82.79,8,2024-01-16,Vendedor 3
382,Produto C,Categoria 3,33.35,6,2024-01-17,Vendedor 1
383,Produto A,Categoria 1,67.25,3,2024-01-18,Vendedor 1
384,Produto B,Categoria 1,50.88,5,2024-01-19,Vendedor 3
385,Produto C,Categoria 2,87.71,9,2024-01-20,Vendedor 2
386,Produto B,Categoria 2,92.53,7,2024-01-21,Vendedor 1
387,Produto C,Categoria 3,99.71,4,2024-01-22,Vendedor 1
388,Produto B,Categoria 2,23.83,7,2024-01-23,Vendedor 3
389,Produto A,Categoria 3,87.67,5,2024-01-24,Vendedor 3
390,Produto A,Categoria 1,33.94,11,2024-01-25,Vendedor 3
391,Produto B,Categoria 1,63.17,15,2024-01-26,Vendedor 3
392,Produto C,Categoria 3,55.52,2,2024-01-27,Vendedor 3
393,Produto A,Categoria 2,11.62,13,2024-01-28,Vendedor 3
394,Produto A,Categoria 3,93.95,16,2024-01-29,Vendedor 3
395,Produto A,Categoria 2,17.05,7,2024-01-30,Vendedor 2
396,Produto B,Categoria 1,71.94,8,2024-01-31,Vendedor 2
397,Produto B,Categoria 2,80.65,6,2024-02-01,Vendedor 2
398,Produto C,Categoria 3,81.58,7,2024-02-02,Vendedor 2
399,Produto C,Categoria 3,22.19,18,2024-02-03,Vendedor 1
400,Produto C,Categoria 1,50.28,7,2024-02-04,Vendedor 2
